Record ID,Nome do negócio
14214450446,Sicredi
14213381032,Getnet 
14197387609,Calçados Aniger
14196370523, Dentsply Sirona
14192131993,Itaú
14150808694,Americas Trading Group
14109118720,Hudl
14102501033,Schmersal
14058957576,Kärcher
14058826584, Kärcher
14046310302, MRV&Co
14044264861, Bombril
14012014890,Coopermota
13998165266,Saint-Gobain
13998110809,Millium
13995430544,Cacau Show
13980635406,Grupo GPS 
13978614688,Bombril
13978649373,Paschoalotto
13977428114,Piccadilly
13977081120,Fitesa
13967169613,Solinftec
13971262043,Dalben
13969229060,Seres Motors
13912182170,Dentsply Sirona
13911695518,Bernhoeft
13898389069,Vittia
13888615997,Artecola Química
13868666770,Hospital Moinhos de Vento
13834896405,Condor Super Center
13804730662,Palladium Hotel
13716191897,Unimed
13691308357,Meliá Hotels
13691851841,Ecogen Brasil
13690301517,Palladium Hotel
13489361412,Hydac
13422604381,Cooxupé
13411720787,VAGAS.com
13389429885,Heineken
13357688177,Cooxupé
13356360793,Vence Tudo
13316079946,Super Prix
13315910518,Grupo Curimbaba
13279967134,Brasil Atacadista
13205725995,Saúde Petrobrás
13159599031,Eurobike
13128409450,Banco Carrefour
13057235528,Cocal
12993392541,Positivo
12972876903, Jacto
12972551455, Grupo Bertolini
13265384065,IAS
12856570938,Itaú
12826723072,Agrogalaxy
12776263680,Eurochem
12754190484,Isla Sementes
12753468273,Sport Club Internacional
12688511828,Verde AgriTech
12627287415,GDM Seeds
12431223324,John Deere
13514421933,Citrosuco Renovação 
12334431491,Reservas Votorantim
12330851164, ITX Gamer
12268878875,Vitta Residencial
12135020909,Grupo Salta Educação
12087770387,Grupo Bertolini 
12086241635, Vibra
12070187587,Lojas Benoit
12053554105, Amaggi
12053254730, Amaggi
11995742584, JLL
11995618419, RANDON S.A.
11995548005, Ottobock
11961457848,Imply Rental
13515773783,MRS
11765199794,BRF Pet
12536215896,Dom Atacadista
11646251827,DVA
12100866664,Tembici
12100865450,Cocamar Ecomm
11557498281,Converse
11369948255,LOTS Group
11370793629,Eurochem (Retorno)
11266793340,SuperPrix
11234907490,Fintechmagalu
11222170137,Pottencial Seguradora
11156847374,BRF
11146533800,Banco next
11074697233,Carrefour
11070312612,Grupo ATTO
11067648141,Agua de cheiro
11027456697,Rennova
10994423655,Stara
10984262837, Lord Brasil
10995330926,Agrotoken
10980854596,Bebidas Poty
10969649465,Rumo
10886978836,Evino
10859783191,Hospital Alemão Oswaldo Cruz
10844814487,AD'ORO
10766607698, Jussara Laticineos
10677021007,Accor
10630221896,Wiley
10619139943,Nestlé
10615291916, KWS Group
10615749476,SPRAYTEC
10590690171,Zen SA
10554387775,Loja Cocamar
10423344008,EMS
10358562966,New Holland
10289777579,Cocamar
10282208687,Kuaishou
10279522896,3M
10277598247, Enel X
10268226307,CNN Brasil
10239355748,Nissan
10288664398,Evera by Citrosuco
10194908756,CBC
10161938786,HONDA
10161251850,Gazin
10160287395,Dpaschoal
10117266732,Teuto
10070324108, Eletrobras
10070151285,Rede Sim de Postos
10067849484,Portobello
9943275788,Arlan
9942666548,PepsiCo
9922745002,Foco Aluguel de Carro
9910334978,Grupo Líder
9907461386,We Pink
9892494180,JBS
9892391035,Bayer Pharmaceuticals
9872374867, Petz
9850189662,Lupo
9849094535,Natura&CO
9781871227,Hospital Sírio-Libanês
9767065765,Digio
9694270742,Mart Minas
9691251818,Zoop
9671392000,Grupo Multitécnica
9556284505,Ultragaz
9554698256,Grupo Oncoclinicas
9535985760,WAP
9534720436,Chopp Brahma Express
9533639733,Moura Dubeux
9714001725,Prime Cursos II  Upsell
9492773640,Pamplona Alimentos
9458850179,Renault
9435779855,Mallory Eletroportáteis 
9434955293,Embelleze
9403380807,BRB
9367902616,Digio Upsell III
9342483878,Alper Seguros
9335197262,Mosaic Brasil
9335038859,Cencosud
9321003094, Jacto
9320851333,Sonda Supermercados
9266863369,Leite de Rosas
9152980401,Oracle | GA4
9145229174,Ayumi Supermercados
9142920225,Bombril 
9134056239, Enxuto Supermercados 
9059767372,Zenatur
8988575343,Gillette Venus
8947390720,Celeiro Supermercados
8938556759,Barry Callebaut
8891831424,Prima Foods 
8860080758,Iquegami Supermercados
9185739073,Farmadelivery II 
8785636688,NK Sementes (Syngenta)
8784596653,Valmont
8808339045,Nim Genetics
8725975888,Tintas Eucatex II
8525141673,Rocha
8521807490,Grupo Redebrasil
8510171833,Calçados Bibi
8509054492,Leão Alimentos e Bebidas
8444212021,Unipac
8437713017,EUCATUR
8401843003, Castrillon Autopeças
8391202363,Metalúrgica Fey 
8344505364, VetBR Saúde Animal 
8343752003,AD'ORO
8322344064,Grupo Semar Supermercados
8304208765,SAS Plataforma de Educação
8301515184,Grupo Priner
8264520809,APSA
8263921938,Lunelli
8253354841,Prodap
8239766660,Shopping Recife
8235144739, Porto Itapoá
8242183344,Alterdata Software II
8230722315,Wiz Soluções
8230620996, Vale
8218762164,Medabil
